"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","change"
"ENSG00000123358",15701.0346251777,5265.60690311427,6.87842234849808,6.16846412801924e-09,3.86680454638433e-06,-0.244501662389359,"NR4A1","Up"
"ENSG00000120738",12420.5541315598,8400.40225596526,5.94741164921168,2.00053212323613e-07,6.48655294992734e-05,-0.991039192831412,"EGR1","Up"
"ENSG00000155090",9049.18354942434,3186.41554428134,5.65939481362793,5.78513464878446e-07,0.000145424573024064,-1.23258566411717,"KLF10","Up"
"ENSG00000184779",8878.35358963544,8214.59307084304,3.58446260635202,0.000720630842601522,0.0418277272406303,-3.01487326951987,NA,"Up"
"ENSG00000149212",-8752.00996050288,7851.42054818184,-3.8148110319962,0.000349239359663282,0.0244155962744524,-2.8220304207114,"SESN3","Down"
"ENSG00000136603",8284.81018391178,3064.60505225215,19.6876305809922,1.81241551470479e-26,3.40842861695384e-22,4.53033348973612,"SKIL","Up"
"ENSG00000159388",7485.03253089274,6417.32881792594,3.84681266869454,0.000315262140528053,0.0225430411208007,-2.79496181896219,"BTG2","Up"
"ENSG00000108654",7341.26421287691,13197.1708472375,4.71235172090342,1.72827504059704e-05,0.00238984855981382,-2.04827978251909,"DDX5","Up"
"ENSG00000185650",7293.59240800536,6140.32806126759,6.4511513902053,3.06383507869791e-08,1.51627585499981e-05,-0.579934533977285,"ZFP36L1","Up"
"ENSG00000006459",5788.35837258755,3018.62048930328,9.9249058969697,7.90746010234021e-14,2.12439563835157e-10,1.73022271997804,"KDM7A","Up"
"ENSG00000064666",5408.23244553497,3100.64934041278,3.54576043348034,0.000812092705814985,0.0454530220998708,-3.04688657589901,"CNN2","Up"
"ENSG00000122877",5299.56475848018,3437.78621213112,4.9010681342178,8.91315234035745e-06,0.00134624038234759,-1.88420418991649,"EGR2","Up"
"ENSG00000178209",4302.00570838883,3103.86874354446,3.59188018186728,0.000704262600247578,0.041259696137869,-3.00872387618478,"PLEC","Up"
"ENSG00000167106",4010.31231727966,4160.28072252616,6.09605952630056,1.15242177863027e-07,4.28127357885337e-05,-0.86811757481984,"EEIG1","Up"
"ENSG00000132510",3937.2974009247,2643.65328828347,3.96600606936677,0.000214579434762653,0.0170269234183394,-2.69363846413875,"KDM6B","Up"
"ENSG00000186174",3842.98635661052,1928.24519839217,7.28030173825178,1.3615219524456e-09,1.06686590990383e-06,0.0586254503362795,"BCL9L","Up"
"ENSG00000169926",3522.40783985743,3790.4021390401,7.26594972186659,1.43700086034191e-09,1.0809695271836e-06,0.0480157169063204,"KLF13","Up"
